city,street,street_number
Toronto,Lane N Yarmouth E Christie,4686
Toronto,Bamford Crescent,9834
Toronto,Lane E Harvie N Rogers,3675
Toronto,Gore Street,8133
Toronto,Cudia Crescent,5967
Toronto,Bluffers Park Road,4992
Toronto,Rex Gate,4281
Toronto,Lane 2 W Peter N Jack Cooper,5862
Toronto,Lane N Rogers E Dufferin,1480
Toronto,Lane S St Clair E Greenlaw,7947
Toronto,Burnview Crescent,4230
Toronto,Lane E George N Glenholme Place,1131
Toronto,Dunmurray Boulevard,3171
Toronto,Lane 1 N Danforth E Main Street,4934
Toronto,Lane N Lindsey W Dufferin,5774
Toronto,Minnowburn Street,666
Toronto,Keele Street,1326
Toronto,The Market Place,5417
Toronto,Fareham Crescent,7331
Toronto,Birkdale Road,3238
Toronto,Roycrest Avenue,9661
Toronto,Brome Road,8674
Toronto,Lane N College E Crawford,7449
Toronto,Wilkes Crescent,1167
Toronto,Armitage Drive,5187
Toronto,Westleigh Crescent,9830
Toronto,Lane N Teignmouth W Harvie,705
Toronto,Inglis Gate,1004
Toronto,Linderwood Drive,3800
Toronto,Lane S Danforth E Kenworthy,994
Toronto,Crocker Avenue,7989
Toronto,Navenby Crescent,9101
Toronto,Ipswich Crescent,8976
Toronto,Bernadine Street,2546
Toronto,Lane S Niagara W Bathurst,3073
Toronto,Prado Court,2383
Toronto,Clumber Road,578
Toronto,Lime Treeway,2132
Toronto,Abbott Avenue,3282
Toronto,Roseglen Crescent,4083
Toronto,Clovelly Avenue,4628
Toronto,Wallsend Drive,8437
Toronto,Jenny Wrenway,5563
Toronto,The Donway East,2626
Toronto,Burmont Road,2838
Toronto,Lane E Carlaw N Harcourt,1195
Toronto,Bolingbroke Road,3526
Toronto,Kenridge Avenue,9742
Toronto,Solstice Drive,547
Toronto,Chantilly Gardens,5732
Toronto,Oakwood Avenue,1867
Toronto,Bayard Avenue,9716
Toronto,Alma Avenue,3516
Toronto,Nortonville Drive,9667
Toronto,Carousel Court,6610
Toronto,Maria Street,6398
Toronto,Warlock Crescent,5434
Toronto,Lane N Wellington E Blue Jays Way,8669
Toronto,Wrenson Road,590
Toronto,Lane W Oakwood S Clovelly,1605
Toronto,Laurel Avenue,8693
Toronto,Ilford Road,1010
Toronto,Cannes Circle,3984
Toronto,Gravenhurst Avenue,1104
Toronto,Spruce Hill Road,6220
Toronto,Lane N Hallam E Delaware,2666
Toronto,Lane N Adelaide E Duncan,448
Toronto,Lane E Sackville Street S Amelia,6523
Toronto,Lane N Bloor W Brentwood,9715
Toronto,Smithfield Drive,2756
Toronto,Lane N Kingston W Harewood,3394
Toronto,Brant Street,1337
Toronto,Edenbridge Drive,7531
Toronto,Lord Seaton Road,3758
Toronto,Reesor Road,163
Toronto,Gordon Park Drive,3934
Toronto,Lane W Dufferin N Bowie,4381
Toronto,Sandwell Drive,2781
Toronto,Druid Court,3613
Toronto,Lane S Eglinton W Westover Hill,4351
Toronto,Lane S Weston W Bellevue,8169
Toronto,Lane W William Hancox S Crossovers,2043
Toronto,Letchworth Crescent,1753
Toronto,Chelmer Gate,9435
Toronto,Feltham Avenue,7628
Toronto,Clairton Crescent,1221
Toronto,Lambrinos Lane,8994
Toronto,Stevenson Road,1100
Toronto,Patriarch Bartholomew Way,7141
Toronto,Lane E Pape S Mortimer,6230
Toronto,Goldsboro Road,6086
Toronto,Lane S Gerrard E Rhodes,4481
Toronto,Urban Court,6507
Toronto,Lane S Bloor W Grace,7436
Toronto,Eli Shackleton Court,5557
Toronto,Bayview N Lawrence Ramp,3166
Toronto,Wilgar Road,4114
Toronto,Dunfield Avenue,6665
Toronto,Saintfield Avenue,6226
Ottawa,Keyrock Drive,7629
Ottawa,Thomas Argue Road,5264
Ottawa,Esterlawn Private,449
Ottawa,Cuba Avenue,9986
Ottawa,Delmar Drive,789
Ottawa,Jacqueline Crescent,7980
Ottawa,Montrose Avenue,8468
Ottawa,Oakland Avenue,7931
Ottawa,Steen Lane,4824
Ottawa,Fanterra Way,2301
Ottawa,Corvus Court,1924
Ottawa,Camelot Drive,7693
Ottawa,Rideau Road,8008
Ottawa,Lancer Avenue,3107
Ottawa,Gregg Street,3416
Ottawa,Laurel Valley Court,8898
Ottawa,Marco Lane,2101
Ottawa,Fountainhead Drive,5698
Ottawa,Primrose Avenue,542
Ottawa,Regency Terrace,6674
Ottawa,Trojan Avenue,7372
Ottawa,Deakin Street,4944
Ottawa,Vistapark Drive,5171
Ottawa,Wexford Way,375
Ottawa,Varley Drive,5633
Ottawa,Farwel Street,8950
Ottawa,Chesswood Court,9035
Ottawa,Vistapointe Drive,9205
Ottawa,Coleridge Street,5275
Ottawa,Irish Rose Crescent,8927
Ottawa,Reddick Lane,7293
Ottawa,Bantree Street,3300
Ottawa,Westbrook Road,9031
Ottawa,Mcelroy Drive,2502
Ottawa,Dupuis Street,8218
Ottawa,Conover Street,7325
Ottawa,Riocan Avenue,9885
Ottawa,Bradwell Way,210
Ottawa,Whitechapel Crescent,1757
Ottawa,Samuel Mann Avenue,1179
Ottawa,Falls Drive,8208
Ottawa,Tischart Crescent,681
Ottawa,Dorchester Avenue,2079
Ottawa,South Island Park Drive,7660
Ottawa,Quinn Road,774
Ottawa,Len Lunney Crescent,4863
Ottawa,Lady Slipper Way,2170
Ottawa,Shore Street,5279
Ottawa,Lynwood Park Private,761
Ottawa,Lafontaine Avenue,1530
Ottawa,Bluemeadow Way,4314
Ottawa,Barran Street,3174
Ottawa,Legrand Crescent,355
Ottawa,Airport Parkway Private,7252
Ottawa,Goulbourn Street,7635
Ottawa,Dunston Terrace,4038
Ottawa,North Service Road,3378
Ottawa,Hurley Crescent,2184
Ottawa,Blackleaf Drive,4789
Ottawa,Enterprise Avenue,6247
Ottawa,Meandering Brook Drive,4418
Ottawa,Gordon Street,8554
Ottawa,Deer Moss Trail,5891
Ottawa,Allanford Avenue,9061
Ottawa,Tandalee Crescent,1890
Ottawa,Rideau Bend Crescent,8195
Ottawa,Stonehedge Park,9833
Ottawa,Range Road,1272
Ottawa,Graphite Road,9301
Ottawa,Belcourt Boulevard,7260
Ottawa,West River Drive,4300
Ottawa,Ballyhaise Street,247
Ottawa,Wren Street,8316
Ottawa,Breezehill Avenue North,6821
Ottawa,Jay Avenue,347
Ottawa,Middleton Drive,8506
Ottawa,Goldfinch Drive,4143
Ottawa,Thomas More Private,7330
Ottawa,Gable Private,7797
Ottawa,Chesterbrook Street,9553
Ottawa,Woodway Avenue,1288
Ottawa,Gilchrist Avenue,713
Ottawa,Muirland Avenue,7469
Ottawa,Cedardown Private,9516
Ottawa,Sherway Drive,9310
Ottawa,Elsie Street,8057
Ottawa,Elmira Drive,5925
Ottawa,Burnbank Street,1688
Ottawa,Lyndale Avenue,5075
Ottawa,Kolo Drive,7395
Ottawa,Catalina Drive,8368
Ottawa,Macnabb Place,3125
Ottawa,Laurelwood Place,7403
Ottawa,Weedmark Road,6930
Ottawa,Marshfield Street,1937
Ottawa,Farmers Way,4383
Ottawa,Orford Crescent,8632
Ottawa,Marcay Street,4572
Ottawa,Edgewater Drive,6539
Ottawa,Lee Enfield Road,4918
Ottawa,High Street,2070
Ottawa,Sawchuk Terrace,8925
Ottawa,Farrow Street,3965
Ottawa,Mannering Court,6214
Vancouver,Pinnacle Court,159
Vancouver,Fairchild Road,2273
Vancouver,Cook Street,6007
Vancouver,Malkin Avenue,2540
Vancouver,West 59th Avenue,8364
Vancouver,East Kent Avenue South,5995
Vancouver,Kullahun Drive,3779
Vancouver,Aegean Crescent,9521
Vancouver,Crowe Street,1472
Vancouver,East 1st Offramp Avenue,9837
Vancouver,West 62nd Avenue,2750
Vancouver,Midlothian Avenue,4758
Vancouver,East 22nd Avenue,999
Vancouver,North Templeton Drive,5223
Vancouver,Vine Street,3084
Vancouver,Grandview Highway North,6482
Vancouver,Le Roi Street,1660
Vancouver,Beach Avenue,3729
Vancouver,Old Bridge Walk,7894
Vancouver,Crown Crescent,2010
Vancouver,Walden Street,5929
Vancouver,Waterford Drive,1163
Vancouver,Market Hill,1565
Vancouver,Mons Drive,8382
Vancouver,Teakwood Place,4217
Vancouver,East 47th Avenue,2976
Vancouver,Bridgeway,9326
Vancouver,Ward Street,1674
Vancouver,Bonnyvale Avenue,9144
Vancouver,Prince Edward Street,1910
Vancouver,Queens Avenue,7386
Vancouver,East 26th Avenue,110
Vancouver,Neal Street,5967
Vancouver,Bonaccord Drive,5747
Vancouver,Marpole Avenue,5615
Vancouver,Begg Street,9983
Vancouver,School Avenue,4751
Vancouver,Dunelm Avenue,6406
Vancouver,Lincoln Street,8404
Vancouver,Parkway Drive,9746
Vancouver,East 65th Avenue,8038
Vancouver,Thrush Place,1058
Vancouver,North Skeena Street,9762
Vancouver,Pacific Offramp Boulevard,4224
Vancouver,East 25th Avenue,6922
Vancouver,Clarendon Street,8170
Vancouver,Sasamat Place,7975
Vancouver,West 31st Avenue,2697
Vancouver,Terry Fox Way,6525
Vancouver,Talon Square,3334
Vancouver,Turnberry Crescent,2511
Vancouver,Mcmullen Avenue,3845
Vancouver,Marstrand Avenue,5662
Vancouver,Terra Vita Place,2429
Vancouver,Poplar Street,7980
Vancouver,Scantlings,2374
Vancouver,Ontario Place,1698
Vancouver,Lord Street,4005
Vancouver,Suzhou Alley,9334
Vancouver,Staulo Crescent,5894
Vancouver,Bidwell Street,3943
Vancouver,Alvin Narod Mews,5742
Vancouver,Tolmie Street,5430
Vancouver,Waterford Drive,8908
Vancouver,West 74th Avenue,6520
Vancouver,Little Street,4218
Vancouver,Doncaster Way,6877
Vancouver,Waterside Avenue,9763
Vancouver,Liard Place,7971
Vancouver,Milton Street,680
Vancouver,Lakewood Drive,1835
Vancouver,Sienum Place,9488
Vancouver,Granville Street,5764
Vancouver,East 40th Avenue,4037
Vancouver,Elizabeth Street,8891
Vancouver,Prior Street,3712
Vancouver,Dunlevy Avenue,5058
Vancouver,Lincoln Street,4492
Vancouver,West Boulevard,6603
Vancouver,Imperial Road,895
Vancouver,Fountain Way,3608
Vancouver,Mons Drive,9178
Vancouver,Liard Place,7732
Vancouver,Brunswick Street,4917
Vancouver,Rogers Street,3838
Vancouver,Moberly Road,2736
Vancouver,Mont Royal Square,7729
Vancouver,West 67th Avenue,8676
Vancouver,West 16th Avenue,4818
Vancouver,Miller Street,7560
Vancouver,Joyce Street,5290
Vancouver,Main Street,7176
Vancouver,Marpole Avenue,3527
Vancouver,Ghent Lane,1920
Vancouver,Kamloops Street,3546
Vancouver,Mchardy Street,2232
Vancouver,Beagle Court,2269
Vancouver,Appledale Place,8288
Vancouver,Waterleigh Drive,8399
Vancouver,Grant Street,8162
Vancouver,Commercial Street,670
Vancouver,Bach Avenue,1868
Vancouver,Nanton Avenue,9901
Vancouver,Raymur Avenue,5664
Vancouver,Huron Mews,1824
Vancouver,Vivaldi Place,101
Calgary,Royal Birch Boulevard North-west,326
Calgary,Berwick Crescent North-west,9107
Calgary,400 Chaparral Ravine View South-east,9663
Calgary,Kenosee Place South-west,2465
Calgary,Bowfort Road North-west,1555
Calgary,84 Street North-west,6742
Calgary,3000 New Brighton Gardens South-east,382
Calgary,29 Avenue South-east,6849
Calgary,Chaparral Grove South-east,5026
Calgary,Royal Birch Heights North-west,6575
Calgary,300 Royal Bay North-west,4685
Calgary,Douglas Ridge Circle South-east,4207
Calgary,100 Aspen Glen Place South-west,4150
Calgary,Tuscany Ravine Mews North-west,1542
Calgary,Mctavish Road North-east,9625
Calgary,Whiteview Road North-east,4802
Calgary,Lowell Court South-west,9042
Calgary,Sudbury Avenue South-west,1671
Calgary,Lake Fraser Court South-east,5632
Calgary,Midglen Road South-east,9964
Calgary,Edenstone Way North-west,8553
Calgary,Martingrove Way North-east,4085
Calgary,Chapalina Common South-east,9153
Calgary,Silverado Skies Bay South-west,1697
Calgary,Inverness Lane South-east,4432
Calgary,Mardale Crescent North-east,6772
Calgary,Hidden Hills Terrace North-west,4209
Calgary,Arbour Wood Close North-west,1809
Calgary,Auburn Bay View South-east,3422
Calgary,Falsbridge Drive North-east,3095
Calgary,Macewan Park Road North-west,9167
Calgary,Monterey Avenue North-west,7208
Calgary,Harvest Oak Rise North-east,7362
Calgary,Silver Ridge Way North-west,8989
Calgary,Somerside Common South-west,5567
Calgary,Rundlehorn Drive North-east,1656
Calgary,Mount Douglas Point South-east,8510
Calgary,Maplegrove Place South-east,6916
Calgary,45 Street North-west,1658
Calgary,Balsam Drive South-west,8526
Calgary,Mount Norquay Park South-east,6428
Calgary,Hyler Place South-west,9076
Calgary,Dalmarnock Crescent North-west,3254
Calgary,Midridge Place South-east,9508
Calgary,Valentine Crescent South-east,4479
Calgary,Royal Birch Park North-west,693
Calgary,Evansdale Court North-west,6437
Calgary,Coral Keys Villas North-east,7836
Calgary,200 Covington Bay North-east,6760
Calgary,Norseman Road North-west,882
Calgary,6 Street North-east,7643
Calgary,200 Catalina Place North-east,3808
Calgary,200 Valley Crest Court North-west,4004
Calgary,Summer Street South-west,6392
Calgary,101 Street North-west,7549
Calgary,Forest Grove South-east,3227
Calgary,Woodfield Way South-west,2751
Calgary,Citadel Gate North-west,7590
Calgary,300 Valley Woods Place North-west,4407
Calgary,Boulton Road North-west,8168
Calgary,38 Avenue North-east,4668
Calgary,Hunterhorn Terrace North-east,1522
Calgary,Lake Crimson Close South-east,8929
Calgary,Lonridge Drive South-west,8160
Calgary,Edgeridge Circle North-west,5333
Calgary,Woodfern Way South-west,5766
Calgary,Cedarbrae Drive South-west,2757
Calgary,Prestwick Mount South-east,9419
Calgary,Railway Street South-east,9837
Calgary,Hospital Drive North-west,7506
Calgary,Riverview Drive South-east,2941
Calgary,Kincora Boulevard North-west,6841
Calgary,Margate Close North-east,2215
Calgary,Monument Place South-east,6540
Calgary,300 Douglasbank Place South-east,8451
Calgary,200 Covington Place North-east,4999
Calgary,Templeside Bay North-east,8733
Calgary,17a Street North-west,7556
Calgary,100 Hidden Valley Place North-west,6764
Calgary,Maidstone Way North-east,3604
Calgary,Hillary Crescent South-west,2377
Calgary,Graham Drive South-west,6345
Calgary,New Brighton Landing South-east,8550
Calgary,Saddlecrest Crescent North-east,4482
Calgary,Cranfield Manor South-east,3233
Calgary,Austin Road South-east,2450
Calgary,Palisdale Road South-west,5008
Calgary,Shillington Crescent South-west,9055
Calgary,Suncastle Crescent South-east,5761
Calgary,Rundlefield Crescent North-east,9913
Calgary,500 Cantrell Place South-west,188
Calgary,Eversyde Circle South-west,2694
Calgary,Shawfield Drive South-west,1610
Calgary,Woodford Place South-west,9886
Calgary,81 Street North-west,7762
Calgary,Bermondsey Crescent North-west,5711
Calgary,Riverglen Way South-east,6786
Calgary,Deer Run Drive South-east,9286
Calgary,Rockyspring Rise North-west,7304
Calgary,Canfield Road South-west,6590
Calgary,100 Fonda Court South-east,2108
Calgary,Canberra Road North-west,6565
Calgary,200 Pinepoint Place North-east,2097
Calgary,100 Edcath Place North-west,9887
Calgary,Madeira Close North-east,1518
Calgary,200 Ranchview Court North-west,5637
Calgary,Castlebrook Way North-east,1448
Calgary,Lamont Court South-west,9763
Calgary,Mount Douglas Close South-east,4521
Calgary,Penworth Road South-east,3628
Calgary,Erlton Terrace South-west,4556
Calgary,Aviation Road North-east,7031
Calgary,200 Valley Springs Terrace North-west,1988
Montreal,Rue Aéterna,9132
Montreal,Rue Du Frere-andré,7024
Montreal,Rue Eugene-payette,8032
Montreal,Rue Baillairgé,3307
Montreal,Rue D'alembert,4473
Montreal,Rue Bagg,1681
Montreal,Rue Sainte-clotilde,4250
Montreal,Avenue Royal,4888
Montreal,7e Rue,1978
Montreal,Rue Saint-thomas,1591
Montreal,Rue Marcel-monette,1289
Montreal,Rue Du Séminaire,8787
Montreal,Rue De La Haye,4474
Montreal,Rue Gaston,9041
Montreal,Avenue Marcil,3857
Montreal,Place Durnford,9047
Montreal,Avenue Paquin,6892
Montreal,1e Avenue,4305
Montreal,132e Avenue,5641
Montreal,Avenue Desjardins,5053
Montreal,Avenue Bertin,5653
Montreal,Rue Leslie-gault,6069
Montreal,Avenue 80e,8157
Montreal,Avenue Guillaume-richard,2414
Montreal,Rue Desnoyers,154
Montreal,Rue Rimbaud,1136
Montreal,Rue Simonne,183
Montreal,Rue Elm,4333
Montreal,Rue Vivier,4157
Montreal,Rue D'allet,5931
Montreal,Rue White,3880
Montreal,Rue Dubois,1117
Montreal,Rue De Nazareth,517
Montreal,Rue Landreville,5472
Montreal,Avenue Durocher,1071
Montreal,Avenue Du Languedoc,8964
Montreal,Rue Dubuisson,1605
Montreal,Boulevard De Pierrefonds,9811
Montreal,Rue Wurtele,1904
Montreal,Rue Sackville,3324
Montreal,Avenue Pierre-dupuy,4797
Montreal,Rue Dumas,9152
Montreal,Rue Louis-lefebvre,6699
Montreal,Rue Pierre-ayot,3297
Montreal,Rue De L' Hospice-bourget,7046
Montreal,Avenue Jean-desprez,3903
Montreal,Avenue Hingston,1053
Montreal,Rue Élisabeth-bégon,3912
Montreal,Place De Chazel,9725
Montreal,Avenue Laurier Est,8410
Montreal,Boulevard Cavendish,9433
Montreal,Avenue Du Chardonnet,2495
Montreal,Terrasse Joly,2588
Montreal,Rue Philippe-turcot,4471
Montreal,Rue Rosario-fortin,1408
Montreal,Terrasse Saint-jean-baptiste,1767
Montreal,Avenue Georges,9799
Montreal,Avenue Vezeau,8816
Montreal,Rue Burelle,1986
Montreal,Rue Elgin,1756
Montreal,Rue Léo-grenier,9121
Montreal,Avenue 25e,8240
Montreal,Place Beaminster,7652
Montreal,Rue Allison,3460
Montreal,Avenue Léopold-houlé,2260
Montreal,Avenue Guillaume-couture,5351
Montreal,Rue Champlain,7096
Montreal,Avenue Champagneur,2401
Montreal,Rue Fendall,7913
Montreal,Rue Gosford,2445
Montreal,Rue Michel,1347
Montreal,Rue Hervé,4998
Montreal,Rue Sainte-croix,7971
Montreal,Rue De Domrémy,1379
Montreal,Avenue Du Mont-cassin,2860
Montreal,Place De La Savane,9922
Montreal,Rue Hillsdale,4020
Montreal,Avenue De Charette,7954
Montreal,Rue Levy,2795
Montreal,Avenue Shelley,7714
Montreal,Rue Gowdridge,6942
Montreal,Avenue Joseph-Édouard-samson,4891
Montreal,Avenue Du Beau-bois,3313
Montreal,Rue Ney,4453
Montreal,Rue Brabant-marineau,9095
Montreal,Rue Du Progres,450
Montreal,Avenue Harley,9627
Montreal,Rue Paulus,7010
Montreal,Jarry,1636
Montreal,Boulevard Desmarchais,3303
Montreal,Rue Becket,5782
Montreal,Avenue Beloeil,7713
Montreal,Rue Redpath Court,5096
Montreal,Rue Des Huards,1209
Montreal,Avenue Adolphe-rho,6695
Montreal,Terrasse Sagamo,7794
Montreal,Avenue Nelson,7144
Montreal,Chemin De La Tour,4428
Montreal,Avenue De La Bruere,5767
Montreal,Voie Camillien-houde,6012
Montreal,Rue Bohlé,5064
Montreal,Rue Sainte-famille,3005
Montreal,Boulevard Lalande,9772
Montreal,Avenue Gabrielle-roy,8721
Montreal,Rue Smith,3944
Montreal,Rue Sewell,2866
Montreal,Rue Belvedere Circle,1491
Montreal,Chemin Bonavista,1568
Montreal,Rue Eusebe-gagnon,4145
Montreal,Rue Wilderton Crescent,7422
Montreal,Rue Sackville,8682
Montreal,Rue Shaw,2593
Montreal,Avenue De Malicorne,4425
Montreal,Rue Le Gardeur,6381
Montreal,Avenue De La Brunante,5252
Montreal,Rue Melatti,8947
Montreal,Rue Joseph-piché,5497
Montreal,Rue Saint-columban,9117
Montreal,Rue Chestnut,8115
Montreal,Avenue De Verneuil,8315
Montreal,Rue Bourgoin,1817
Montreal,Rue Renoir,2323
Montreal,Rue Francine-mckenzie,9719
Montreal,Rue Achille-fortier,2400
Montreal,Rue De Nogent,6541
