id,birthdate,join_date,retire_date,position,facility_id,age
1,1979-11-19,2022-01-23,,cleaner,1.0,42
2,1978-02-19,2020-12-07,,cleaner,1.0,44
3,1980-06-01,2021-05-16,,cleaner,1.0,41
4,1971-01-25,2020-01-09,,cleaner,1.0,51
5,1997-04-12,2019-07-15,,cleaner,1.0,25
6,1997-10-28,2021-08-17,,cleaner,1.0,24
7,1985-09-15,2020-02-18,,cleaner,1.0,36
8,1994-04-12,2022-01-24,,cleaner,1.0,28
9,1995-09-04,2019-12-13,,director,1.0,26
10,1975-07-06,2020-05-21,,manager,1.0,46
11,1995-08-09,2019-08-28,,manager,1.0,26
12,1980-09-29,2022-05-06,,manager,1.0,41
13,1983-08-19,2022-01-01,,manager,1.0,38
14,1991-11-19,2019-12-04,,manager,1.0,30
15,1983-03-16,2020-06-18,,manager,1.0,39
16,1974-06-22,2019-12-10,,manager,1.0,47
17,1977-06-04,2021-12-04,,medic,1.0,44
18,1973-05-27,2021-09-20,,medic,1.0,49
19,1968-11-28,2020-03-25,,psychologist,1.0,53
20,1980-11-11,2021-10-28,,accountant,1.0,41
21,1983-03-30,2021-08-27,,coach,1.0,39
22,1976-10-01,2020-09-05,,coach,1.0,45
23,1967-12-24,2022-05-23,,coach,1.0,54
24,1978-04-29,2021-01-22,,coach,1.0,44
25,1972-03-07,2021-12-07,,cleaner,2.0,50
26,1984-02-16,2020-02-04,,cleaner,2.0,38
27,2003-11-11,2021-11-22,,cleaner,2.0,18
28,1971-06-02,2022-05-14,,cleaner,2.0,50
29,1971-08-17,2020-10-03,,cleaner,2.0,50
30,1957-06-15,2020-09-12,,director,2.0,64
31,1988-07-11,2019-12-26,,manager,2.0,33
32,1962-09-17,2020-09-25,,manager,2.0,59
33,1977-02-05,2020-03-27,,manager,2.0,45
34,1990-04-30,2020-02-09,,manager,2.0,32
35,1975-11-15,2021-01-24,,manager,2.0,46
36,1966-10-15,2020-03-02,,manager,2.0,55
37,1989-01-05,2022-01-18,,manager,2.0,33
38,1994-01-14,2021-08-04,,manager,2.0,28
39,1978-07-01,2021-01-05,,manager,2.0,43
40,1970-07-17,2021-03-21,,manager,2.0,51
41,1958-10-29,2020-10-26,,medic,2.0,63
42,1995-05-20,2021-05-26,,medic,2.0,27
43,1968-02-09,2019-06-11,,medic,2.0,54
44,1977-06-10,2021-06-09,,psychologist,2.0,44
45,1969-11-09,2022-02-22,,accountant,2.0,52
46,1959-03-23,2021-02-09,,accountant,2.0,63
47,1997-11-20,2020-02-01,,coach,2.0,24
48,1976-07-28,2021-07-27,,coach,2.0,45
49,1996-03-10,2020-09-17,,coach,2.0,26
50,1986-09-18,2020-03-19,,coach,2.0,35
51,1976-10-08,2019-11-28,,coach,2.0,45
52,1993-07-30,2021-12-24,,cleaner,3.0,28
53,1990-08-03,2020-03-18,,cleaner,3.0,31
54,1968-06-16,2019-07-08,,cleaner,3.0,53
55,1996-05-01,2020-03-04,,cleaner,3.0,26
56,2004-03-24,2022-05-28,,cleaner,3.0,18
57,1968-01-28,2022-04-12,,cleaner,3.0,54
58,1970-01-10,2021-07-24,,director,3.0,52
59,1959-12-31,2020-05-04,,manager,3.0,62
60,1973-12-16,2021-08-11,,manager,3.0,48
61,1977-05-07,2021-05-12,,manager,3.0,45
62,1968-12-18,2020-10-19,,manager,3.0,53
63,1969-12-20,2021-05-15,,manager,3.0,52
64,1963-05-21,2019-08-15,,manager,3.0,59
65,1957-08-03,2021-11-19,,manager,3.0,64
66,1964-06-15,2020-02-07,,manager,3.0,57
67,1984-06-12,2020-03-18,,manager,3.0,37
68,1964-09-25,2019-10-26,,manager,3.0,57
69,1980-05-17,2021-10-04,,medic,3.0,42
70,1982-02-22,2019-10-02,,medic,3.0,40
71,1982-02-09,2020-04-20,,psychologist,3.0,40
72,1989-02-08,2020-08-26,,psychologist,3.0,33
73,1983-12-17,2019-12-05,,accountant,3.0,38
74,1990-05-20,2020-10-25,,coach,3.0,32
75,2002-05-14,2020-09-01,,coach,3.0,20
76,1993-04-27,2022-04-03,,coach,3.0,29
77,1970-01-10,2020-10-04,,coach,3.0,52
78,1969-04-16,2022-04-27,,coach,3.0,53
79,1983-07-13,2019-06-21,,coach,3.0,38
80,2001-01-16,2021-12-10,,cleaner,4.0,21
81,1978-07-03,2020-08-20,,cleaner,4.0,43
82,2000-12-07,2020-06-05,,cleaner,4.0,21
83,1969-09-30,2021-10-29,,cleaner,4.0,52
84,2003-12-20,2022-03-20,,cleaner,4.0,18
85,1982-06-22,2019-09-08,,cleaner,4.0,39
86,1990-11-01,2021-07-09,,cleaner,4.0,31
87,1968-05-21,2019-09-06,,cleaner,4.0,54
88,1983-12-21,2020-01-18,,cleaner,4.0,38
89,1974-12-06,2019-06-15,,director,4.0,47
90,1984-04-17,2019-08-13,,manager,4.0,38
91,1965-07-11,2020-05-12,,manager,4.0,56
92,1982-08-26,2021-11-08,,manager,4.0,39
93,1985-11-12,2022-01-15,,manager,4.0,36
94,1992-11-15,2021-01-03,,manager,4.0,29
95,1990-06-09,2020-03-26,,manager,4.0,31
96,1984-05-16,2020-12-07,,manager,4.0,38
97,1980-11-17,2022-04-19,,manager,4.0,41
98,1974-03-15,2019-10-09,,medic,4.0,48
99,1963-08-06,2020-06-25,,psychologist,4.0,58
100,1985-09-02,2021-05-03,,psychologist,4.0,36
101,1996-12-14,2020-11-02,,accountant,4.0,25
102,1960-07-04,2020-03-28,,accountant,4.0,61
103,1971-05-28,2022-04-25,,coach,4.0,51
104,1986-02-20,2022-03-15,,coach,4.0,36
105,1967-10-31,2020-08-08,,coach,4.0,54
106,1992-08-14,2020-02-16,,coach,4.0,29
107,1975-07-19,2020-11-01,,cleaner,5.0,46
108,1982-04-02,2019-08-11,,cleaner,5.0,40
109,2003-11-02,2022-03-04,,cleaner,5.0,18
110,1969-01-23,2021-12-21,,cleaner,5.0,53
111,1970-09-14,2022-03-03,,cleaner,5.0,51
112,1995-11-09,2022-05-13,,cleaner,5.0,26
113,1998-12-16,2021-09-27,,cleaner,5.0,23
114,1992-10-21,2020-08-14,,cleaner,5.0,29
115,1991-06-06,2020-06-23,,cleaner,5.0,30
116,1979-03-08,2020-07-13,,cleaner,5.0,43
117,1967-05-15,2019-10-10,,director,5.0,55
118,1968-08-03,2019-11-10,,manager,5.0,53
119,1981-11-14,2021-01-02,,manager,5.0,40
120,1988-04-02,2021-07-10,,manager,5.0,34
121,1995-11-02,2020-06-05,,manager,5.0,26
122,1983-07-13,2020-06-10,,manager,5.0,38
123,1992-05-19,2019-11-13,,manager,5.0,30
124,1993-04-21,2022-05-13,,manager,5.0,29
125,1995-06-26,2021-07-19,,manager,5.0,26
126,1996-01-20,2021-02-20,,medic,5.0,26
127,1977-09-04,2021-07-01,,medic,5.0,44
128,1966-10-23,2022-02-01,,psychologist,5.0,55
129,1976-08-27,2019-08-18,,accountant,5.0,45
130,1976-03-15,2020-10-11,,accountant,5.0,46
131,2001-04-28,2019-06-16,,coach,5.0,21
132,1969-05-03,2019-08-20,,coach,5.0,53
133,1982-08-14,2022-03-15,,coach,5.0,39
