person_id,birthdate,age,category,facility_id,join_date,retire_date,team_name,gender,position
0,2010-05-11,12,junior,5.0,2019-06-06,2019-12-29,Super Lords,M,
1,1991-01-24,31,adult,4.0,2019-06-09,2020-02-22,Game of Stones,F,
2,1968-02-09,54,,2.0,2019-06-11,,,,medic
3,1974-12-06,47,,4.0,2019-06-15,,,,director
4,2001-04-28,21,,5.0,2019-06-16,,,,coach
5,2006-02-18,16,junior,5.0,2019-06-18,,Super Lords,M,
6,2006-09-10,15,junior,3.0,2019-06-19,,Ice Huskies,M,
7,2011-06-29,10,junior,5.0,2019-06-20,,Curlers Terriers,M,
8,1983-07-13,38,,3.0,2019-06-21,,,,coach
9,2002-09-02,19,junior,3.0,2019-06-23,2021-07-22,Stone Mariners,M,
10,1982-07-31,39,adult,1.0,2019-06-25,2021-06-01,Ice Sabres,M,
11,1974-10-26,47,adult,2.0,2019-06-29,,Cold Colts,M,
12,1998-01-08,24,,5.0,2019-07-06,2019-10-29,,,cleaner
13,1987-09-26,34,adult,1.0,2019-07-06,,Toronto Eagles,M,
14,2011-08-13,10,junior,2.0,2019-07-08,,Montreal Lasers,F,
15,1968-06-16,53,,3.0,2019-07-08,,,,cleaner
16,1996-02-07,26,,4.0,2019-07-08,2020-03-24,,,director
17,2005-06-30,16,junior,2.0,2019-07-10,2020-10-16,Montreal Lasers,F,
18,1991-03-14,31,adult,2.0,2019-07-10,,Ice Bulls,M,
19,1997-04-12,25,,1.0,2019-07-15,,,,cleaner
20,2006-04-18,16,junior,2.0,2019-07-17,,Baby Broomers,F,
21,1992-10-24,29,adult,3.0,2019-07-20,,Calgary Rockets,M,
22,1983-01-02,39,adult,5.0,2019-07-23,2020-11-14,Vancouver Fury,M,
23,1978-09-17,43,adult,5.0,2019-07-24,2020-07-06,Vancouver Islanders,F,
24,2012-02-16,10,junior,4.0,2019-07-27,,Ottawa Greys,F,
25,2004-08-07,17,junior,3.0,2019-07-28,2020-11-28,Stone Mariners,F,
26,1980-04-15,42,adult,3.0,2019-07-29,,Calgary Cubs,M,
27,1975-12-31,46,adult,2.0,2019-08-02,,Montreal Raiders,M,
28,1973-12-27,48,adult,3.0,2019-08-07,,Cold Huskies,F,
29,2006-11-04,15,junior,2.0,2019-08-11,,Montreal Vipers,M,
30,1982-04-02,40,,5.0,2019-08-11,,,,cleaner
31,1984-04-17,38,,4.0,2019-08-13,,,,manager
32,1963-05-21,59,,3.0,2019-08-15,,,,manager
33,1996-01-13,26,adult,3.0,2019-08-15,,Calgary Fleur-de-Lys,M,
34,1988-02-17,34,,2.0,2019-08-16,2020-10-03,,,psychologist
35,2008-12-23,13,junior,1.0,2019-08-16,,Toronto Rockets,M,
36,1983-03-29,39,adult,2.0,2019-08-17,,Montreal Bruins,M,
37,1976-08-27,45,,5.0,2019-08-18,,,,accountant
38,1991-12-10,30,adult,2.0,2019-08-18,,Montreal Raiders,M,
39,2005-04-15,17,junior,3.0,2019-08-20,,Calgary Metros,F,
40,1969-05-03,53,,5.0,2019-08-20,,,,coach
41,2004-10-26,17,junior,2.0,2019-08-25,,Super Salsa,M,
42,2002-03-04,20,junior,4.0,2019-08-27,,Ottawa Kiltys,F,
43,1995-08-09,26,,1.0,2019-08-28,,,,manager
44,1983-09-07,38,adult,2.0,2019-08-30,,Cold Colts,M,
45,1996-06-11,25,adult,2.0,2019-08-31,,Cold Colts,M,
46,1980-02-28,42,adult,2.0,2019-09-02,,Montreal Bruins,M,
47,1964-07-09,57,,5.0,2019-09-03,2020-02-24,,,manager
48,2009-01-01,13,junior,5.0,2019-09-05,,Stone Timberwolves,M,
49,1968-05-21,54,,4.0,2019-09-06,,,,cleaner
50,2006-07-21,15,junior,5.0,2019-09-08,,Stone Timberwolves,M,
51,1982-06-22,39,,4.0,2019-09-08,,,,cleaner
52,1995-07-03,26,,5.0,2019-09-10,2020-03-25,,,manager
53,1979-12-18,42,,1.0,2019-09-12,2020-11-23,,,cleaner
54,1976-05-16,46,adult,3.0,2019-09-13,2020-11-08,Calgary Bruins,M,
55,2006-06-28,15,junior,2.0,2019-09-15,,Ice Unicorns,F,
56,1973-09-10,48,adult,3.0,2019-09-15,,Calgary Bruins,M,
57,1980-02-02,42,,2.0,2019-09-20,2021-06-26,,,cleaner
58,1980-07-29,41,adult,4.0,2019-09-22,2022-02-15,Game of Stones,F,
59,1994-07-25,27,adult,1.0,2019-09-24,2020-10-15,Ice Sabres,F,
60,2004-09-06,17,junior,5.0,2019-09-24,,Stone Timberwolves,M,
61,1979-08-26,42,adult,3.0,2019-09-28,,Calgary Rockets,M,
62,1996-05-10,26,adult,1.0,2019-09-30,,Ice Sabres,M,
63,1979-08-11,42,adult,3.0,2019-09-30,,Calgary Fleur-de-Lys,M,
64,1982-02-22,40,,3.0,2019-10-02,,,,medic
65,2010-09-02,11,junior,5.0,2019-10-03,,Broom Hawks,M,
66,1994-11-23,27,adult,3.0,2019-10-03,,Cold Huskies,F,
67,1978-11-21,43,adult,3.0,2019-10-05,2021-07-24,Calgary Bruins,M,
68,2006-06-30,15,junior,2.0,2019-10-08,,Baby Broomers,F,
69,2003-01-04,19,junior,5.0,2019-10-08,,Super Atlantics,F,
70,1974-03-15,48,,4.0,2019-10-09,,,,medic
71,1967-05-15,55,,5.0,2019-10-10,,,,director
72,1989-08-14,32,adult,5.0,2019-10-15,,Vancouver Fury,M,
73,1996-05-13,26,adult,3.0,2019-10-20,,Calgary Bruins,M,
74,2008-12-16,13,junior,3.0,2019-10-25,2021-05-22,Stone Mariners,M,
75,1964-09-25,57,,3.0,2019-10-26,,,,manager
76,1997-05-26,25,adult,1.0,2019-10-29,2019-11-16,Toronto Penguins,F,
77,1986-12-15,35,adult,1.0,2019-10-29,2021-04-21,Toronto Penguins,F,
78,2004-10-23,17,junior,5.0,2019-11-02,,Super Atlantics,F,
79,1987-03-08,35,adult,3.0,2019-11-06,2021-02-17,Calgary Fleur-de-Lys,M,
80,1961-10-11,60,,4.0,2019-11-07,2020-07-07,,,manager
81,1994-08-22,27,adult,4.0,2019-11-07,2020-09-15,Cold Travelways,M,
82,2008-03-16,14,junior,4.0,2019-11-09,2021-08-12,Ottawa Greys,F,
83,1968-08-03,53,,5.0,2019-11-10,,,,manager
84,1971-01-24,51,,5.0,2019-11-12,2019-12-26,,,coach
85,2004-03-31,18,junior,2.0,2019-11-13,,Ice Unicorns,F,
86,1992-05-19,30,,5.0,2019-11-13,,,,manager
87,1978-12-24,43,,2.0,2019-11-14,2020-01-01,,,manager
88,2010-01-31,12,junior,5.0,2019-11-18,,Super Lords,M,
89,1974-07-19,47,adult,2.0,2019-11-20,,Cold Colts,M,
90,1982-10-18,39,adult,1.0,2019-11-22,,Toronto Penguins,F,
91,2009-03-17,13,junior,1.0,2019-11-25,,Toronto Olympics,M,
92,2002-05-09,20,junior,2.0,2019-11-28,,Montreal Braves,M,
93,2011-12-17,10,junior,3.0,2019-11-28,,Calgary Metros,F,
94,1976-10-08,45,,2.0,2019-11-28,,,,coach
95,2007-02-16,15,junior,4.0,2019-11-29,,Ottawa Greys,F,
96,2002-04-07,20,junior,4.0,2019-11-30,2021-12-05,Broom Mets,F,
97,1991-11-19,30,,1.0,2019-12-04,,,,manager
98,1989-02-01,33,,5.0,2019-12-04,2022-05-11,,,psychologist
99,2004-09-27,17,junior,1.0,2019-12-05,2020-12-03,Toronto Rockets,M,
100,1983-12-17,38,,3.0,2019-12-05,,,,accountant
101,1981-09-21,40,adult,1.0,2019-12-05,,Ice Cougars,F,
102,2008-06-28,13,junior,1.0,2019-12-06,2022-01-20,Cold Islanders,F,
103,1974-06-22,47,,1.0,2019-12-10,,,,manager
104,1987-08-29,34,adult,4.0,2019-12-12,,Cold Travelways,M,
105,1995-09-04,26,,1.0,2019-12-13,,,,director
106,1981-02-07,41,,3.0,2019-12-13,2021-04-14,,,coach
107,1983-03-04,39,adult,4.0,2019-12-14,2021-08-20,Game of Stones,F,
108,2002-03-27,20,junior,2.0,2019-12-18,,Super Salsa,F,
109,1972-08-11,49,adult,2.0,2019-12-19,2021-10-04,Montreal Bruins,M,
110,2005-04-09,17,junior,1.0,2019-12-24,2020-07-22,Cold Islanders,F,
111,2004-04-04,18,junior,4.0,2019-12-25,,Cold Chinooks,F,
112,1988-07-11,33,,2.0,2019-12-26,,,,manager
113,1993-01-22,29,adult,5.0,2019-12-29,2021-05-04,Vancouver Islanders,F,
114,2011-05-13,11,junior,2.0,2020-01-02,,Montreal Lasers,F,
115,1987-12-23,34,adult,2.0,2020-01-08,,Montreal Raiders,M,
116,1971-01-25,51,,1.0,2020-01-09,,,,cleaner
117,1976-05-01,46,adult,3.0,2020-01-12,,Calgary Fleur-de-Lys,M,
118,1988-09-28,33,adult,4.0,2020-01-12,2021-09-04,Ottawa Victorias,M,
119,1998-04-25,24,adult,3.0,2020-01-13,2022-04-08,Calgary Cougars,M,
120,2012-06-19,9,junior,4.0,2020-01-13,,Broom Mets,F,
121,2006-09-14,15,junior,1.0,2020-01-14,,Cold Islanders,F,
122,1958-10-30,63,,1.0,2020-01-15,2020-04-09,,,manager
123,1975-10-12,46,adult,3.0,2020-01-16,,Calgary Fleur-de-Lys,M,
124,1992-05-17,30,adult,3.0,2020-01-17,2021-12-27,Calgary Cougars,M,
125,1983-12-21,38,,4.0,2020-01-18,,,,cleaner
126,1985-01-27,37,,3.0,2020-01-23,2022-03-13,,,psychologist
127,2012-03-09,10,junior,4.0,2020-01-31,,Cold Chinooks,F,
128,1997-11-20,24,,2.0,2020-02-01,,,,coach
129,1984-02-16,38,,2.0,2020-02-04,,,,cleaner
130,1978-09-09,43,,1.0,2020-02-05,2020-11-02,,,director
131,2005-08-27,16,junior,4.0,2020-02-07,,Ice Dodgers,F,
132,1964-06-15,57,,3.0,2020-02-07,,,,manager
133,1990-04-30,32,,2.0,2020-02-09,,,,manager
134,1967-02-04,55,,5.0,2020-02-14,2021-05-29,,,medic
135,1992-08-14,29,,4.0,2020-02-16,,,,coach
136,2004-01-13,18,junior,2.0,2020-02-17,,Montreal Lasers,F,
137,2002-03-11,20,junior,4.0,2020-02-17,,Ice Dodgers,F,
138,1976-10-14,45,adult,1.0,2020-02-18,,Ice Sabres,M,
139,1985-09-15,36,,1.0,2020-02-18,,,,cleaner
140,1986-03-21,36,adult,2.0,2020-02-21,2022-01-11,Montreal Bruins,M,
141,2011-03-30,11,junior,2.0,2020-02-25,,Super Salsa,M,
142,1986-04-07,36,adult,1.0,2020-02-25,,Toronto Eagles,M,
143,2002-07-31,19,junior,2.0,2020-02-27,,Montreal Vipers,M,
144,2008-01-16,14,junior,4.0,2020-02-27,,Cold Chinooks,F,
145,1986-09-07,35,adult,1.0,2020-02-29,,Ice Sabres,M,
146,1966-10-15,55,,2.0,2020-03-02,,,,manager
147,2007-06-07,14,junior,1.0,2020-03-04,,Cold Islanders,F,
148,2012-08-23,9,junior,2.0,2020-03-04,2020-04-04,Montreal Vipers,M,
149,1972-06-17,49,adult,5.0,2020-03-04,,Vancouver Islanders,F,
150,1996-05-01,26,,3.0,2020-03-04,,,,cleaner
151,2003-07-10,18,junior,4.0,2020-03-09,,Cold Chinooks,F,
152,2004-08-06,17,junior,2.0,2020-03-11,,Montreal Braves,M,
153,2004-06-26,17,junior,3.0,2020-03-14,,Rolling Stones,F,
154,2011-06-26,10,junior,2.0,2020-03-16,2021-12-26,Super Salsa,M,
155,1986-02-20,36,adult,1.0,2020-03-17,,Toronto Eagles,M,
156,2002-07-19,19,junior,5.0,2020-03-17,,Stone Timberwolves,F,
157,2002-12-19,19,junior,3.0,2020-03-17,,Stone Mariners,M,
158,1984-06-12,37,,3.0,2020-03-18,,,,manager
159,1996-12-22,25,adult,5.0,2020-03-18,,Vancouver Fury,M,
160,1990-08-03,31,,3.0,2020-03-18,,,,cleaner
161,1989-10-12,32,,4.0,2020-03-19,2020-10-17,,,cleaner
162,1986-09-18,35,,2.0,2020-03-19,,,,coach
163,2012-02-07,10,junior,2.0,2020-03-21,2020-08-08,Montreal Lasers,F,
164,1995-04-29,27,adult,2.0,2020-03-24,,Montreal Bruins,M,
165,1968-11-28,53,,1.0,2020-03-25,,,,psychologist
166,2010-09-11,11,junior,2.0,2020-03-26,,Montreal Lasers,F,
167,1990-06-09,31,,4.0,2020-03-26,,,,manager
168,2004-11-04,17,junior,2.0,2020-03-27,,Super Salsa,M,
169,1999-02-20,23,adult,2.0,2020-03-27,2022-05-08,Ice Bulls,M,
170,1977-02-05,45,,2.0,2020-03-27,,,,manager
171,1960-07-04,61,,4.0,2020-03-28,,,,accountant
172,1991-02-03,31,adult,3.0,2020-03-29,2022-01-27,Cold Huskies,F,
173,2004-02-23,18,junior,4.0,2020-03-30,,Broom Mets,F,
174,2010-12-18,11,junior,4.0,2020-04-06,,Ice Dodgers,F,
175,2012-01-27,10,junior,4.0,2020-04-09,2021-08-21,Ottawa Kiltys,F,
176,2004-02-14,18,junior,4.0,2020-04-12,,Ottawa Greys,M,
177,1989-11-01,32,adult,1.0,2020-04-13,,Ice Cougars,F,
178,2011-04-06,11,junior,4.0,2020-04-14,,Broom Mets,F,
179,1995-02-14,27,adult,1.0,2020-04-14,2021-09-22,Toronto Penguins,F,
180,2009-09-18,12,junior,1.0,2020-04-16,,Toronto Olympics,F,
181,1982-02-09,40,,3.0,2020-04-20,,,,psychologist
182,1981-02-17,41,adult,2.0,2020-05-01,,Montreal Raiders,M,
183,1973-11-09,48,adult,3.0,2020-05-02,,Calgary Fleur-de-Lys,M,
184,1975-10-13,46,adult,3.0,2020-05-02,2020-07-19,Calgary Bruins,M,
185,1994-11-19,27,adult,5.0,2020-05-03,,Vancouver Fury,M,
186,2006-03-04,16,junior,5.0,2020-05-04,2020-10-21,Super Lords,M,
187,1959-12-31,62,,3.0,2020-05-04,,,,manager
188,2004-01-13,18,junior,4.0,2020-05-08,,Broom Mets,F,
189,1965-07-11,56,,4.0,2020-05-12,,,,manager
190,1997-08-05,24,adult,5.0,2020-05-13,,Vancouver Islanders,F,
191,2008-07-11,13,junior,2.0,2020-05-15,2022-02-04,Montreal Lasers,F,
192,1987-08-08,34,adult,4.0,2020-05-15,,Game of Stones,F,
193,1995-12-13,26,,2.0,2020-05-16,2022-03-08,,,coach
194,2012-01-06,10,junior,2.0,2020-05-16,,Montreal Braves,M,
195,1982-11-20,39,,4.0,2020-05-19,2021-11-19,,,coach
196,1975-07-06,46,,1.0,2020-05-21,,,,manager
197,1982-08-30,39,adult,1.0,2020-05-22,,Ice Sabres,M,
198,2010-08-10,11,junior,5.0,2020-05-26,,Stone Timberwolves,M,
199,2008-07-11,13,junior,2.0,2020-05-30,,Super Salsa,M,
200,1977-04-24,45,adult,3.0,2020-05-31,,Calgary Rockets,M,
201,1979-11-19,42,adult,4.0,2020-06-03,,Cold Travelways,M,
202,1974-06-05,47,adult,3.0,2020-06-05,,Calgary Cougars,M,
203,1995-11-02,26,,5.0,2020-06-05,,,,manager
204,2000-12-07,21,,4.0,2020-06-05,,,,cleaner
205,1988-01-03,34,adult,1.0,2020-06-07,,Ice Sabres,M,
206,1983-07-13,38,,5.0,2020-06-10,,,,manager
207,1990-07-11,31,adult,4.0,2020-06-13,,Ottawa Victorias,M,
208,2002-07-02,19,junior,3.0,2020-06-15,,Rolling Stones,F,
209,1983-03-16,39,,1.0,2020-06-18,,,,manager
210,1981-05-01,41,adult,1.0,2020-06-19,,Ice Sabres,M,
211,2004-12-27,17,junior,4.0,2020-06-21,,Ice Dodgers,F,
212,1991-06-06,30,,5.0,2020-06-23,,,,cleaner
213,1963-08-06,58,,4.0,2020-06-25,,,,psychologist
214,2002-06-02,19,junior,5.0,2020-06-26,,Super Lords,M,
215,2011-07-11,10,junior,1.0,2020-06-26,,Cold Islanders,F,
216,1991-02-02,31,adult,1.0,2020-07-01,2020-08-01,Toronto Penguins,F,
217,2010-12-29,11,junior,3.0,2020-07-02,2021-11-18,Stone Mariners,F,
218,1975-04-07,47,adult,2.0,2020-07-06,,Montreal Raiders,M,
219,1994-03-02,28,adult,3.0,2020-07-10,,Calgary Bruins,M,
220,2004-02-27,18,junior,4.0,2020-07-11,,Ottawa Kiltys,M,
221,1984-09-07,37,adult,2.0,2020-07-13,,Montreal Bruins,M,
222,1987-05-24,35,adult,4.0,2020-07-13,,Ottawa Victorias,M,
223,1979-03-08,43,,5.0,2020-07-13,,,,cleaner
224,1975-12-30,46,adult,3.0,2020-07-15,,Calgary Cubs,M,
225,1968-07-18,53,,3.0,2020-07-16,2021-05-09,,,coach
226,1984-11-07,37,adult,4.0,2020-07-17,,Cold Travelways,M,
227,1999-05-23,23,adult,3.0,2020-07-18,,Calgary Cougars,M,
228,1998-08-30,23,adult,4.0,2020-07-19,2022-03-26,Ottawa Victorias,M,
229,1966-12-17,55,,3.0,2020-07-21,2021-02-04,,,manager
230,1993-12-05,28,adult,5.0,2020-07-23,,Vancouver Islanders,F,
231,1992-07-14,29,adult,4.0,2020-07-24,,Game of Stones,F,
232,1995-07-10,26,adult,1.0,2020-07-25,2021-01-27,Ice Cougars,F,
233,1998-06-15,23,adult,1.0,2020-07-26,,Toronto Penguins,F,
234,1995-03-30,27,adult,1.0,2020-08-01,,Ice Sabres,M,
235,1974-03-25,48,adult,2.0,2020-08-02,,Cold Colts,M,
236,1986-12-03,35,,4.0,2020-08-06,2022-03-17,,,psychologist
237,1967-10-31,54,,4.0,2020-08-08,,,,coach
238,1992-10-21,29,,5.0,2020-08-14,,,,cleaner
239,1978-07-03,43,,4.0,2020-08-20,,,,cleaner
240,1969-11-20,52,,3.0,2020-08-23,2020-10-20,,,psychologist
241,2010-02-06,12,junior,1.0,2020-08-24,,Cold Islanders,F,
242,2009-07-20,12,junior,5.0,2020-08-25,,Broom Hawks,M,
243,1989-02-08,33,,3.0,2020-08-26,,,,psychologist
244,2008-05-28,14,junior,3.0,2020-08-27,,Ice Huskies,M,
245,2008-08-08,13,junior,3.0,2020-08-30,,Stone Mariners,F,
246,2002-05-14,20,,3.0,2020-09-01,,,,coach
247,1974-04-03,48,adult,4.0,2020-09-04,,Cold Travelways,M,
248,1976-10-01,45,,1.0,2020-09-05,,,,coach
249,1984-06-05,37,adult,4.0,2020-09-10,,Ottawa Victorias,M,
250,1957-06-15,64,,2.0,2020-09-12,,,,director
251,2010-10-03,11,junior,3.0,2020-09-13,2021-10-17,Stone Mariners,M,
252,2002-11-12,19,junior,3.0,2020-09-14,,Ice Huskies,F,
253,1996-03-10,26,,2.0,2020-09-17,,,,coach
254,2005-12-04,16,junior,2.0,2020-09-21,,Montreal Lasers,F,
255,1962-09-17,59,,2.0,2020-09-25,,,,manager
256,1979-09-01,42,adult,3.0,2020-09-26,,Calgary Cubs,M,
257,1980-02-11,42,adult,3.0,2020-09-26,2021-05-27,Calgary Cougars,M,
258,1989-07-11,32,adult,1.0,2020-09-27,2022-02-01,Ice Cougars,F,
259,1984-10-19,37,adult,5.0,2020-09-27,,Vancouver Fury,M,
260,1985-10-23,36,adult,1.0,2020-10-02,,Toronto Penguins,F,
261,1971-08-17,50,,2.0,2020-10-03,,,,cleaner
262,1970-01-10,52,,3.0,2020-10-04,,,,coach
263,2004-09-24,17,junior,2.0,2020-10-05,,Montreal Vipers,M,
264,2009-04-18,13,junior,5.0,2020-10-06,,Broom Hawks,M,
265,2006-05-24,16,junior,5.0,2020-10-08,,Vancouver Buccaneers,F,
266,1976-03-15,46,,5.0,2020-10-11,,,,accountant
267,1990-07-15,31,adult,1.0,2020-10-15,,Toronto Eagles,M,
268,1968-12-18,53,,3.0,2020-10-19,,,,manager
269,2009-12-17,12,junior,3.0,2020-10-23,2021-08-27,Stone Mariners,F,
270,1990-05-20,32,,3.0,2020-10-25,,,,coach
271,1958-10-29,63,,2.0,2020-10-26,,,,medic
272,1974-06-14,47,adult,3.0,2020-10-29,2021-04-22,Calgary Cubs,M,
273,1998-03-19,24,adult,5.0,2020-10-29,,Vancouver Islanders,F,
274,1975-07-19,46,,5.0,2020-11-01,,,,cleaner
